"0",""
"0","Sand.df <- SpatialPointsDataFrame(mod.df[,1:2], data = mod.df[""Sand""])"
"0","proj4string(Sand.df) <- CRS(""+proj=longlat +datum=WGS84 +no_defs"")"
"0",""
"0","variogram_model_sand <- variogram(Sand ~ 1, Sand.df)"
"0",""
"0","# Fit a model to the variogram"
"0","variogram_fit_sand <- fit.variogram(variogram_model_sand, model = vgm(nugget = 1, model = ""Sph"", range = 0.1, sill = 1))"
"0",""
"0","# Perform kriging"
"0","kriging_sand <- krige(Sand ~ 1, Sand.df, newdata = new.df, model = variogram_fit_sand)"
"1","[using ordinary kriging]
"
"0","krig_sand_sf <- st_as_sf(kriging_sand)"
"0",""
"0","ggplot() +"
"0","  geom_sf(data = krig_sand_sf, aes(fill = var1.pred), shape = 21, size = 4) +"
"0","  scale_fill_viridis_c('Sand content', option = ""C"") +"
"0","  theme_bw()+"
"0","    theme(panel.grid = element_blank())"
